species,status,precision_v1,precision_v2,precision_delta,recall_v1,recall_v2,recall_delta,f1_score_v1,f1_score_v2,f1_score_delta,support_v1,support_v2
Abracris_flavolineata,both,0.8333,0.8,-0.0333,1.0,0.8,-0.2,0.9091,0.8,-0.1091,5,5
Achlyodes_pallida,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Acropternis_orthonyx,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Actinote_neleus,both,1.0,0.7143,-0.2857,1.0,1.0,0.0,1.0,0.8333,-0.1667,5,5
Actinote_stratonice,both,0.6,0.75,0.15,0.6,0.6,0.0,0.6,0.6667,0.0667,5,5
Adelomyia_melanogenys,both,1.0,0.9091,-0.0909,0.8333,0.8333,0.0,0.9091,0.8696,-0.0395,12,12
Adhemarius_sexoculata,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Aechmea_angustifolia,both,1.0,1.0,0.0,0.8,1.0,0.2,0.8889,1.0,0.1111,5,5
Aglaeactis_cupripennis,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15,15
Aglaiocercus_coelestis,both,0.8333,1.0,0.1667,1.0,0.6,-0.4,0.9091,0.75,-0.1591,5,5
Aglaiocercus_kingii,both,1.0,0.8667,-0.1333,0.8,0.8667,0.0667,0.8889,0.8667,-0.0222,15,15
Aiouea_montana,both,0.5714,0.6667,0.0953,0.8,0.8,0.0,0.6667,0.7273,0.0606,5,5
Alouatta_seniculus,both,0.8,0.75,-0.05,0.8,0.6,-0.2,0.8,0.6667,-0.1333,5,5
Altinote_ozomene,both,0.8571,0.8571,0.0,0.8571,0.8571,0.0,0.8571,0.8571,0.0,7,7
Amanita_muscaria,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Amastus_aconia,both,1.0,1.0,0.0,1.0,0.8,-0.2,1.0,0.8889,-0.1111,5,5
Amastus_coccinator,both,1.0,1.0,0.0,1.0,0.8,-0.2,1.0,0.8889,-0.1111,5,5
Amastus_episcotosia,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Amastus_thalassina,both,1.0,0.8889,-0.1111,1.0,1.0,0.0,1.0,0.9412,-0.0588,8,8
Amazilia_tzacatl,both,0.75,0.8571,0.1071,0.6667,0.6667,0.0,0.7059,0.75,0.0441,9,9
Amazona_mercenaria,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Ampelioides_tschudii,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Ampelion_rubrocristatus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Ampelion_rufaxilla,both,1.0,0.6667,-0.3333,0.6,0.8,0.2,0.75,0.7273,-0.0227,5,5
Anartia_amathea,both,0.9231,1.0,0.0769,0.9231,0.9231,0.0,0.9231,0.96,0.0369,13,13
Anartia_jatrophae,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,5,5
Ancognatha_scarabaeoides,both,0.8333,0.8,-0.0333,1.0,0.8,-0.2,0.9091,0.8,-0.1091,5,5
Ancognatha_vulgaris,both,0.8,1.0,0.2,0.8,0.8,0.0,0.8,0.8889,0.0889,5,5
Andesanthus_lepidotus,both,0.75,0.75,0.0,0.6,0.6,0.0,0.6667,0.6667,0.0,5,5
Andigena_hypoglauca,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15,15
Andigena_nigrirostris,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,14,14
Andinia_pilosella,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Andinobates_daleswansoni,both,0.8333,0.7143,-0.119,1.0,1.0,0.0,0.9091,0.8333,-0.0758,5,5
Anisognathus_igniventris,both,1.0,1.0,0.0,1.0,0.9333,-0.0667,1.0,0.9655,-0.0345,15,15
Anisognathus_lacrymosus,both,0.9286,0.8333,-0.0953,0.8667,1.0,0.1333,0.8966,0.9091,0.0125,15,15
Anisognathus_somptuosus,both,0.8333,1.0,0.1667,1.0,1.0,0.0,0.9091,1.0,0.0909,15,15
Anolis_antonii,both,0.875,1.0,0.125,0.875,0.875,0.0,0.875,0.9333,0.0583,8,8
Anolis_quimbaya,both,1.0,0.6667,-0.3333,0.6,0.4,-0.2,0.75,0.5,-0.25,5,5
Anolis_ventrimaculatus,both,0.6667,0.6667,0.0,0.8,0.8,0.0,0.7273,0.7273,0.0,5,5
Anteos_clorinde,both,0.625,0.5714,-0.0536,1.0,0.8,-0.2,0.7692,0.6667,-0.1025,5,5
Anthanassa_drusilla,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Anthoptus_epictetus,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Anthracothorax_nigricollis,both,1.0,1.0,0.0,0.6,0.6,0.0,0.75,0.75,0.0,5,5
Anthurium_caramantae,both,0.75,0.8571,0.1071,1.0,1.0,0.0,0.8571,0.9231,0.066,6,6
Anthurium_crystallinum,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Aotus_griseimembra,both,0.7143,0.8333,0.119,1.0,1.0,0.0,0.8333,0.9091,0.0758,5,5
Aotus_lemurinus,both,0.6667,1.0,0.3333,0.8,0.8,0.0,0.7273,0.8889,0.1616,5,5
Aphelandra_runcinata,both,0.8333,0.7143,-0.119,1.0,1.0,0.0,0.9091,0.8333,-0.0758,5,5
Apis_mellifera,both,0.9091,0.9091,0.0,0.8333,0.8333,0.0,0.8696,0.8696,0.0,12,12
Ara_severus,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Araneus_granadensis,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Aratinga_pertinax,both,1.0,0.8,-0.2,1.0,0.8,-0.2,1.0,0.8,-0.2,5,5
Aratinga_wagleri,both,0.7143,0.7143,0.0,1.0,1.0,0.0,0.8333,0.8333,0.0,5,5
Araucaria_columnaris,both,1.0,1.0,0.0,0.8,0.8,0.0,0.8889,0.8889,0.0,5,5
Archonias_flisa,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,5
Ardea_alba,both,1.0,0.75,-0.25,0.8,0.6,-0.2,0.8889,0.6667,-0.2222,5,5
Ardea_cocoi,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Argiope_argentata,both,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7,7
Aristolochia_cordiflora,both,1.0,0.8,-0.2,0.8,0.8,0.0,0.8889,0.8,-0.0889,5,5
Arremon_assimilis,both,1.0,0.9375,-0.0625,1.0,1.0,0.0,1.0,0.9677,-0.0323,15,15
Arremon_brunneinucha,both,0.8333,0.8333,0.0,1.0,1.0,0.0,0.9091,0.9091,0.0,5,5
Arundina_graminifolia,both,0.6667,0.6667,0.0,0.8,0.8,0.0,0.7273,0.7273,0.0,5,5
