================================================================================
  CLASSIFICATION REPORT - BioPlatform Caldas CNN
================================================================================

  Overall Accuracy:   0.8520 (85.2%)
  Top 5 Accuracy: 0.9453 (94.5%)
  Total Test Samples: 4,386
  Number of Classes:  719

────────────────────────────────────────────────────────────────────────────────
  F1-SCORE THRESHOLD SUMMARY  (F1 = harmonic mean of Precision & Recall)
────────────────────────────────────────────────────────────────────────────────
  F1 >= 0.9               =   288 species
  F1 >= 0.7 & < 0.9       =   331 species
  F1 >= 0.5 & < 0.7       =    85 species
  F1 < 0.5                =    15 species
────────────────────────────────────────────────────────────────────────────────

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.9  (288 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
────────────────────────────────────────────────────────────────────────────────
  Abracris_flavolineata                        0.8333     1.0000     0.9091          5
  Achlyodes_pallida                            1.0000     1.0000     1.0000          5
  Acropternis_orthonyx                         1.0000     1.0000     1.0000          5
  Actinote_neleus                              1.0000     1.0000     1.0000          5
  Adelomyia_melanogenys                        1.0000     0.8333     0.9091         12
  Adhemarius_sexoculata                        1.0000     1.0000     1.0000          5
  Aglaeactis_cupripennis                       1.0000     1.0000     1.0000         15
  Aglaiocercus_coelestis                       0.8333     1.0000     0.9091          5
  Amanita_muscaria                             1.0000     1.0000     1.0000          5
  Amastus_aconia                               1.0000     1.0000     1.0000          5
  Amastus_coccinator                           1.0000     1.0000     1.0000          5
  Amastus_episcotosia                          1.0000     1.0000     1.0000          5
  Amastus_thalassina                           1.0000     1.0000     1.0000          8
  Ampelion_rubrocristatus                      1.0000     1.0000     1.0000          5
  Anartia_amathea                              0.9231     0.9231     0.9231         13
  Anartia_jatrophae                            0.8333     1.0000     0.9091          5
  Ancognatha_scarabaeoides                     0.8333     1.0000     0.9091          5
  Andigena_hypoglauca                          1.0000     1.0000     1.0000         15
  Andigena_nigrirostris                        1.0000     1.0000     1.0000         14
  Andinobates_daleswansoni                     0.8333     1.0000     0.9091          5
  Anisognathus_igniventris                     1.0000     1.0000     1.0000         15
  Anisognathus_somptuosus                      0.8333     1.0000     0.9091         15
  Anthoptus_epictetus                          1.0000     1.0000     1.0000          5
  Anthurium_crystallinum                       1.0000     1.0000     1.0000          5
  Aphelandra_runcinata                         0.8333     1.0000     0.9091          5
  Araneus_granadensis                          1.0000     1.0000     1.0000          5
  Aratinga_pertinax                            1.0000     1.0000     1.0000          5
  Archonias_flisa                              1.0000     1.0000     1.0000          5
  Ardea_cocoi                                  0.8333     1.0000     0.9091          5
  Argiope_argentata                            1.0000     1.0000     1.0000          7
  Arremon_assimilis                            1.0000     1.0000     1.0000         15
  Arremon_brunneinucha                         0.8333     1.0000     0.9091          5
  Ascalapha_odorata                            0.8889     1.0000     0.9412          8
  Asclepias_curassavica                        1.0000     1.0000     1.0000          5
  Asio_stygius                                 1.0000     1.0000     1.0000          5
  Atlapetes_flaviceps                          0.8333     1.0000     0.9091          5
  Atlapetes_pallidinucha                       1.0000     1.0000     1.0000          8
  Atlapetes_schistaceus                        1.0000     0.9333     0.9655         15
  Atta_cephalotes                              1.0000     1.0000     1.0000          5
  Aulacorhynchus_albivitta                     1.0000     1.0000     1.0000         11
  Aulacorhynchus_haematopygus                  1.0000     1.0000     1.0000          5
  Basileuterus_culicivorus                     1.0000     1.0000     1.0000          5
  Begonia_urticae                              1.0000     1.0000     1.0000         12
  Boissonneaua_flavescens                      0.8750     0.9333     0.9032         15
  Boissonneaua_jardini                         1.0000     1.0000     1.0000          5
  Bolborhynchus_ferrugineifrons                1.0000     1.0000     1.0000          5
  Bolitoglossa_lozanoi                         0.8333     1.0000     0.9091          5
  Bombus_pauloensis                            0.8333     1.0000     0.9091          5
  Bubulcus_ibis                                1.0000     1.0000     1.0000          6
  Busarellus_nigricollis                       0.8333     1.0000     0.9091          5
  Caiman_crocodilus                            1.0000     1.0000     1.0000          5
  Caligo_atreus                                1.0000     1.0000     1.0000          5
  Caligo_oileus                                1.0000     1.0000     1.0000          5
  Campephilus_pollens                          1.0000     1.0000     1.0000          5
  Capito_hypoleucus                            1.0000     1.0000     1.0000          5
  Catasticta_prioneris                         1.0000     1.0000     1.0000          5
  Centropogon_ferrugineus                      0.8333     1.0000     0.9091          5
  Cerdocyon_thous                              1.0000     1.0000     1.0000          5
  Chaetogastra_grossa                          1.0000     1.0000     1.0000          5
  Chalcostigma_herrani                         0.9231     1.0000     0.9600         12
  Chalybura_buffonii                           0.8333     1.0000     0.9091          5
  Chauna_chavaria                              1.0000     1.0000     1.0000          5
  Chironius_monticola                          0.8333     1.0000     0.9091          5
  Chloroceryle_americana                       0.8333     1.0000     0.9091          5
