species,scientific_name,kingdom,phylum,class,order,family,genus,occurrence_count,image_count,municipalities,iucn_status
Boissonneaua flavescens,"Boissonneaua flavescens (Loddiges, 1832)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Boissonneaua,270,391,,LC
Aglaeactis cupripennis,"Aglaeactis cupripennis (Bourcier, 1843)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaeactis,219,349,,LC
Grallaria ruficapilla,"Grallaria ruficapilla Lafresnaye, 1842",Animalia,Chordata,Aves,Passeriformes,Grallariidae,Grallaria,106,283,,LC
Zonotrichia capensis,"Zonotrichia capensis (P.L.S.Müller, 1776)",Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,168,278,,LC
Momotus aequatorialis,"Momotus aequatorialis Gould, 1858",Animalia,Chordata,Aves,Coraciiformes,Momotidae,Momotus,170,256,,LC
Colibri coruscans,"Colibri coruscans (Gould, 1846)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,155,250,,LC
Andigena hypoglauca,"Andigena hypoglauca (Gould, 1833)",Animalia,Chordata,Aves,Piciformes,Ramphastidae,Andigena,95,244,,LC
Atlapetes schistaceus,"Atlapetes schistaceus (Boissonneau, 1840)",Animalia,Chordata,Aves,Passeriformes,Passerellidae,Atlapetes,152,232,,LC
Heliangelus exortis,"Heliangelus exortis (Fraser, 1840)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Heliangelus,166,229,,LC
Aglaiocercus kingii,"Aglaiocercus kingii (R.Lesson, 1832)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Aglaiocercus,151,228,,
Diglossa cyanea,"Diglossa cyanea (Lafresnaye, 1840)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Diglossa,145,220,,LC
Turdus fuscater,"Turdus fuscater Orbigny & Lafresnaye, 1837",Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,161,218,,LC
Arremon assimilis,"Arremon assimilis (Boissonneau, 1840)",Animalia,Chordata,Aves,Passeriformes,Passerellidae,Arremon,122,210,,LC
Ramphocelus flammigerus,"Ramphocelus flammigerus (Jardine & Selby, 1833)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Ramphocelus,113,207,,LC
Zenaida auriculata,"Zenaida auriculata (Des Murs, 1847)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,142,202,,LC
Coeligena torquata,"Coeligena torquata (Boissonneau, 1840)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Coeligena,145,195,,LC
Sicalis flaveola,"Sicalis flaveola (Linnaeus, 1766)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sicalis,115,190,,LC
Grallaria saturata,"Grallaria saturata Domaniewski & Stolzmann, 1918",Animalia,Chordata,Aves,Passeriformes,Grallariidae,Grallaria,53,188,,
Piranga rubra,"Piranga rubra (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,119,183,,LC
Pipreola riefferii,"Pipreola riefferii (Boissonneau, 1840)",Animalia,Chordata,Aves,Passeriformes,Cotingidae,Pipreola,87,183,,LC
Myioborus ornatus,"Myioborus ornatus (Boissonneau, 1840)",Animalia,Chordata,Aves,Passeriformes,Parulidae,Myioborus,104,171,,LC
Coeligena lutetiae,"Coeligena lutetiae (Delattre & Bourcier, 1846)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Coeligena,112,165,,LC
Tyrannus melancholicus,"Tyrannus melancholicus Vieillot, 1819",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,88,164,,LC
Sciurus granatensis,"Sciurus granatensis Humboldt, 1811",Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,107,160,,LC
Pterophanes cyanopterus,"Pterophanes cyanopterus (Fraser, 1840)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Pterophanes,99,160,,LC
Anisognathus igniventris,"Anisognathus igniventris (d'Orbigny & Lafresnaye, 1837)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,92,154,,LC
Ensifera ensifera,"Ensifera ensifera (Boissonneau, 1840)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Ensifera,103,152,,LC
Grallaricula lineifrons,"Grallaricula lineifrons (Chapman, 1924)",Animalia,Chordata,Aves,Passeriformes,Grallariidae,Grallaricula,60,151,,LC
Setophaga fusca,"Setophaga fusca (Statius Müller, 1776)",Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,85,148,,LC
Grallaria milleri,"Grallaria milleri Chapman, 1912",Animalia,Chordata,Aves,Passeriformes,Grallariidae,Grallaria,69,148,,VU
Stilpnia vitriolina,"Stilpnia vitriolina (Cabanis, 1851)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Stilpnia,94,147,,LC
Anisognathus lacrymosus,"Anisognathus lacrymosus (Du Bus de Gisignies, 1846)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,102,144,,LC
Anisognathus somptuosus,"Anisognathus somptuosus (R.Lesson, 1831)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,87,137,,LC
Penelope montagnii,"Penelope montagnii (Bonaparte, 1856)",Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,92,134,,LC
Grallaria rufocinerea,"Grallaria rufocinerea P.L.Sclater & Salvin, 1879",Animalia,Chordata,Aves,Passeriformes,Grallariidae,Grallaria,56,133,,LC
Pyrrhomyias cinnamomeus,"Pyrrhomyias cinnamomeus (Orbigny & Lafresnaye, 1837)",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrrhomyias,75,132,,LC
Chamaepetes goudotii,"Chamaepetes goudotii (R.Lesson, 1828)",Animalia,Chordata,Aves,Galliformes,Cracidae,Chamaepetes,96,132,,LC
Andigena nigrirostris,"Andigena nigrirostris (Waterhouse, 1839)",Animalia,Chordata,Aves,Piciformes,Ramphastidae,Andigena,66,132,,LC
Thraupis episcopus,"Thraupis episcopus (Linnaeus, 1766)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Thraupis,103,129,,LC
Rupornis magnirostris,"Rupornis magnirostris (Gmelin, 1788)",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rupornis,90,127,,LC
Chaetocercus mulsant,"Chaetocercus mulsant (Bourcier, 1843)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chaetocercus,88,120,,LC
Melanerpes formicivorus,"Melanerpes formicivorus (Swainson, 1827)",Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,74,120,,LC
Anartia amathea,"Anartia amathea (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anartia,82,116,,
Adelomyia melanogenys,"Adelomyia melanogenys (Fraser, 1840)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Adelomyia,85,115,,LC
Begonia urticae,Begonia urticae L.fil.,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,56,115,,
Poecilotriccus ruficeps,"Poecilotriccus ruficeps (Kaup, 1852)",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Poecilotriccus,54,114,,LC
Apis mellifera,"Apis mellifera Linnaeus, 1758",Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,51,114,,
Ochthoeca diadema,"Silvicultrix diadema (Hartlaub, 1843)",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Ochthoeca,58,113,,
Chalcostigma herrani,"Chalcostigma herrani (Delattre & Bourcier, 1846)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Chalcostigma,56,113,,LC
Phimosus infuscatus,"Phimosus infuscatus (Lichtenstein, 1823)",Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Phimosus,64,110,,LC
Pitangus sulphuratus,"Pitangus sulphuratus (Linnaeus, 1766)",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,66,109,,LC
Grallaricula nana,"Grallaricula nana (Lafresnaye, 1842)",Animalia,Chordata,Aves,Passeriformes,Grallariidae,Grallaricula,48,109,,LC
Sporathraupis cyanocephala,"Sporathraupis cyanocephala (d'Orbigny & Lafresnaye, 1837)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporathraupis,79,107,,LC
Heliodoxa rubinoides,"Heliodoxa rubinoides (Bourcier & Mulsant, 1846)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Heliodoxa,84,107,,LC
Coragyps atratus,"Coragyps atratus (Bechstein, 1793)",Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,62,106,,LC
Euphonia laniirostris,"Euphonia laniirostris d'Orbigny & Lafresnaye, 1837",Animalia,Chordata,Aves,Passeriformes,Fringillidae,Euphonia,79,104,,LC
Colibri cyanotus,"Colibri cyanotus (Bourcier, 1843)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,80,104,,
Tangara gyrola,"Tangara gyrola (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tangara,64,103,,LC
Aulacorhynchus albivitta,"Aulacorhynchus albivitta (Boissonneau, 1840)",Animalia,Chordata,Aves,Piciformes,Ramphastidae,Aulacorhynchus,78,102,,LC
Colaptes rivolii,"Colaptes rivolii (Boissonneau, 1840)",Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,62,102,,LC
Turdus ignobilis,"Turdus ignobilis P.L.Sclater, 1858",Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,75,101,,LC
Thraupis palmarum,"Thraupis palmarum (Wied-Neuwied, 1821)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Thraupis,65,97,,LC
Melanerpes rubricapillus,"Melanerpes rubricapillus (Cabanis, 1862)",Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,71,95,,LC
Polistes erythrocephalus,"Polistes erythrocephalus Latreille, 1813",Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes,47,94,,
Saucerottia saucerottei,"Saucerottia saucerottei (Delattre & Bourcier, 1846)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Saucerottia,52,94,,LC
Epidendrum fimbriatum,Epidendrum fimbriatum Kunth,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,52,94,,
Pipreola arcuata,"Pipreola arcuata (Lafresnaye, 1843)",Animalia,Chordata,Aves,Passeriformes,Cotingidae,Pipreola,41,93,,LC
Thunbergia alata,Thunbergia alata Bojer ex Sims,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Thunbergia,56,92,,
Buthraupis montana,"Buthraupis montana (d'Orbigny & Lafresnaye, 1837)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Buthraupis,57,91,,LC
Dendropsophus columbianus,"Dendropsophus columbianus (Boettger, 1892)",Animalia,Chordata,Amphibia,Anura,Hylidae,Dendropsophus,26,91,,LC
Cinclus leucocephalus,"Cinclus leucocephalus Tschudi, 1844",Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,40,90,,LC
Chlorophanes spiza,"Chlorophanes spiza (Linnaeus, 1758)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Chlorophanes,76,89,,LC
Lafresnaya lafresnayi,"Lafresnaya lafresnayi (Boissonneau, 1840)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lafresnaya,68,89,,LC
Pionus menstruus,"Pionus menstruus (Linnaeus, 1766)",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionus,66,89,,LC
Coeligena coeligena,"Coeligena coeligena (R.Lesson, 1833)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Coeligena,65,88,,LC
Molothrus bonariensis,"Molothrus bonariensis (Gmelin, 1789)",Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,45,87,,LC
Columbina talpacoti,"Columbina talpacoti (Temminck, 1810)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,48,86,,LC
Buteo platypterus,"Buteo platypterus (Vieillot, 1823)",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,55,86,,LC
Diglossa albilatera,"Diglossa albilatera Lafresnaye, 1843",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Diglossa,65,86,,LC
Amazilia tzacatl,"Amazilia tzacatl (de la Llave, 1833)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,59,84,,LC
Trogon personatus,"Trogon personatus Gould, 1842",Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Trogon,70,84,,LC
Vanellus chilensis,"Vanellus chilensis (Molina, 1782)",Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,60,83,,LC
Forpus conspicillatus,"Forpus conspicillatus (Lafresnaye, 1848)",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Forpus,58,83,,LC
Vanessa carye,"Vanessa carye (Hübner, 1812)",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,41,83,,
Zingiber spectabile,Zingiber spectabile Griff.,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Zingiber,51,82,,DD
Metallura tyrianthina,"Metallura tyrianthina (Loddiges, 1832)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Metallura,57,81,,LC
Troglodytes solstitialis,"Troglodytes solstitialis P.L.Sclater, 1859",Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,56,80,,LC
Stilpnia heinei,"Stilpnia heinei (Cabanis, 1851)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Stilpnia,56,79,,LC
Sayornis nigricans,"Sayornis nigricans (Swainson, 1827)",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,44,78,,LC
Pyrocephalus rubinus,"Pyrocephalus rubinus (Boddaert, 1783)",Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,39,78,,LC
Lepidocolaptes lacrymiger,"Lepidocolaptes lacrymiger (Des Murs, 1849)",Animalia,Chordata,Aves,Passeriformes,Furnariidae,Lepidocolaptes,49,78,,LC
Malacoptila mystacalis,"Malacoptila mystacalis (Lafresnaye, 1850)",Animalia,Chordata,Aves,Piciformes,Bucconidae,Malacoptila,50,77,,LC
Stilpnia cyanicollis,"Stilpnia cyanicollis (d'Orbigny & Lafresnaye, 1837)",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Stilpnia,50,76,,LC
Golofa porteri,"Golofa porteri Hope, 1837",Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Golofa,44,76,,
Anolis antonii,"Anolis antonii Boulenger, 1908",Animalia,Chordata,Squamata,,Dactyloidae,Anolis,26,75,,LC
Ascalapha odorata,"Ascalapha odorata (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Ascalapha,59,74,,
Notiochelidon cyanoleuca,"Pygochelidon cyanoleuca (Vieillot, 1817)",Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Notiochelidon,47,74,,
Margarornis squamiger,"Margarornis squamiger (Orbigny & Lafresnaye, 1838)",Animalia,Chordata,Aves,Passeriformes,Furnariidae,Margarornis,31,74,,LC
Amastus thalassina,"Amastus thalassina Herrich-Schäffer, 1853",Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Amastus,44,73,,
Ramphocelus dimidiatus,"Ramphocelus dimidiatus Lafresnaye, 1837",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Ramphocelus,54,72,,LC
Zentrygon frenata,"Zentrygon frenata (Tschudi, 1843)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Zentrygon,40,72,,LC
Grallaria nuchalis,"Grallaria nuchalis P.L.Sclater, 1860",Animalia,Chordata,Aves,Passeriformes,Grallariidae,Grallaria,34,72,,LC
Eriocnemis mosquera,"Eriocnemis mosquera (Delattre & Bourcier, 1846)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eriocnemis,54,71,,LC
Icterus chrysater,"Icterus chrysater (Lesson, 1844)",Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,35,71,,LC
Myioborus miniatus,"Myioborus miniatus (Swainson, 1827)",Animalia,Chordata,Aves,Passeriformes,Parulidae,Myioborus,39,71,,LC
Manacus vitellinus,"Manacus vitellinus (Gould, 1843)",Animalia,Chordata,Aves,Passeriformes,Pipridae,Manacus,36,70,,LC
Iguana iguana,"Iguana iguana (Linnaeus, 1758)",Animalia,Chordata,Squamata,,Iguanidae,Iguana,45,69,,LC
Atlapetes pallidinucha,"Atlapetes pallidinucha (Boissonneau, 1840)",Animalia,Chordata,Aves,Passeriformes,Passerellidae,Atlapetes,47,69,,LC
Kohleria affinis,Kohleria affinis (Fritsch) Roalson & Boggan,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Kohleria,36,69,,
Crotophaga ani,"Crotophaga ani Linnaeus, 1758",Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,34,68,,LC
Caracara plancus,"Caracara plancus (J.F.Miller, 1777)",Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,41,67,,LC
Uranomitra franciae,"Uranomitra franciae (Bourcier & Mulsant, 1846)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Uranomitra,43,65,,LC
Florisuga mellivora,"Florisuga mellivora (Linnaeus, 1758)",Animalia,Chordata,Aves,Apodiformes,Trochilidae,Florisuga,49,64,,LC
Lasiophila prosymna,"Lasiophila prosymna Hewitson, 1857",Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lasiophila,43,64,,
Oncidium ornithorhynchum,Oncidium ornithorhynchum Kunth,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,26,62,,
Troglodytes musculus,"Troglodytes musculus J.F.Naumann, 1823",Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,42,62,,
Pristimantis achatinus,"Pristimantis achatinus (Boulenger, 1898)",Animalia,Chordata,Amphibia,Anura,Craugastoridae,Pristimantis,37,62,,LC
Tangara arthus,"Tangara arthus R.Lesson, 1832",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tangara,45,61,,LC
