RAW IMAGES SUMMARY – BioPlatform Caldas
Generated: 2026-03-06 02:00:32 UTC
==========================================================================================

Total especies:     754
Total imágenes:     43,917 (originales: 43,917, augmentadas: 0)
Umbral:             20
Aptas (≥20):       749
No aptas (<20):     5

DISTRIBUCIÓN POR RANGO
----------------------------------------
     1-9:     0
   10-19:     5
   20-49:    30
   50-99:   658
    100+:    61

DISTRIBUCIÓN POR REINO
------------------------------------------------------------------------------------------
Reino           │ Especies │ Imágenes │ Original │  Augment │    ≥20
------------------------------------------------------------------------------------------
Animalia        │      544 │    33591 │    33591 │        0 │    542
Fungi           │        7 │      272 │      272 │        0 │      5
Plantae         │      203 │    10054 │    10054 │        0 │    202

DETALLE POR ESPECIE (ordenado por: count_desc)
------------------------------------------------------------------------------------------
    # │ Especie                                       │ Reino        │  Total │   Orig │   Aug
------------------------------------------------------------------------------------------
    1 │ Piranga rubra                                 │ Animalia     │    150 │    150 │     0 ✓
    2 │ Zenaida auriculata                            │ Animalia     │    150 │    150 │     0 ✓
    3 │ Pipreola riefferii                            │ Animalia     │    150 │    150 │     0 ✓
    4 │ Grallaria ruficapilla                         │ Animalia     │    150 │    150 │     0 ✓
    5 │ Grallaria saturata                            │ Animalia     │    150 │    150 │     0 ✓
    6 │ Grallaricula lineifrons                       │ Animalia     │    150 │    150 │     0 ✓
    7 │ Momotus aequatorialis                         │ Animalia     │    150 │    150 │     0 ✓
    8 │ Myioborus ornatus                             │ Animalia     │    150 │    150 │     0 ✓
    9 │ Arremon assimilis                             │ Animalia     │    150 │    150 │     0 ✓
   10 │ Atlapetes schistaceus                         │ Animalia     │    150 │    150 │     0 ✓
   11 │ Zonotrichia capensis                          │ Animalia     │    150 │    150 │     0 ✓
   12 │ Andigena hypoglauca                           │ Animalia     │    150 │    150 │     0 ✓
   13 │ Anisognathus igniventris                      │ Animalia     │    150 │    150 │     0 ✓
   14 │ Diglossa cyanea                               │ Animalia     │    150 │    150 │     0 ✓
   15 │ Ramphocelus flammigerus                       │ Animalia     │    150 │    150 │     0 ✓
   16 │ Sicalis flaveola                              │ Animalia     │    150 │    150 │     0 ✓
   17 │ Aglaeactis cupripennis                        │ Animalia     │    150 │    150 │     0 ✓
   18 │ Aglaiocercus kingii                           │ Animalia     │    150 │    150 │     0 ✓
   19 │ Boissonneaua flavescens                       │ Animalia     │    150 │    150 │     0 ✓
   20 │ Coeligena lutetiae                            │ Animalia     │    150 │    150 │     0 ✓
   21 │ Coeligena torquata                            │ Animalia     │    150 │    150 │     0 ✓
   22 │ Colibri coruscans                             │ Animalia     │    150 │    150 │     0 ✓
   23 │ Ensifera ensifera                             │ Animalia     │    150 │    150 │     0 ✓
   24 │ Heliangelus exortis                           │ Animalia     │    150 │    150 │     0 ✓
   25 │ Pterophanes cyanopterus                       │ Animalia     │    150 │    150 │     0 ✓
   26 │ Turdus fuscater                               │ Animalia     │    150 │    150 │     0 ✓
   27 │ Tyrannus melancholicus                        │ Animalia     │    150 │    150 │     0 ✓
   28 │ Sciurus granatensis                           │ Animalia     │    150 │    150 │     0 ✓
   29 │ Grallaria milleri                             │ Animalia     │    148 │    148 │     0 ✓
   30 │ Setophaga fusca                               │ Animalia     │    148 │    148 │     0 ✓
