species,scientific_name,kingdom,phylum,class,order,family,genus,occurrence_count,image_count,municipalities,iucn_status
Senecio niveoaureus,Senecio niveoaureus Cuatrec.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,108,183,,
Begonia urticae,Begonia urticae L.fil.,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,65,117,Marulanda,
Epidendrum fimbriatum,Epidendrum fimbriatum Kunth,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,58,97,,
Thunbergia alata,Thunbergia alata Bojer ex Sims,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Thunbergia,88,94,,
Zingiber spectabile,Zingiber spectabile Griff.,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Zingiber,52,82,,DD
Gaultheria myrsinoides,Gaultheria myrsinoides Kunth,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Gaultheria,80,77,El Pindo; Marulanda; San Félix; Valle Alto; Villamaría,LC
Castilleja fissifolia,Castilleja fissifolia L.fil.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja,51,75,El Pindo; San Félix; Villamaría,
Oncidium ornithorhynchum,Oncidium ornithorhynchum Kunth,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,32,72,,
Kohleria affinis,Kohleria affinis (Fritsch) Roalson & Boggan,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Kohleria,40,71,,
Espeletia hartwegiana,Espeletia hartwegiana Cuatrec. ex Herzog,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Espeletia,107,62,El Pindo; Villamaría,
Begonia umbellata,Begonia umbellata Kunth,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,32,60,Marulanda,
Anthurium caramantae,Anthurium caramantae Engl.,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,29,58,,
Chaetogastra grossa,Chaetogastra grossa (L.fil.) P.J.F.Guim. & Michelang.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Chaetogastra,166,53,El Pindo; Marulanda; San Félix; Villamaría,LC
Ceroxylon quindiuense,Ceroxylon quindiuense (H.Karst.) H.Wendl.,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Ceroxylon,43,53,,VU
Phytolacca bogotensis,Phytolacca bogotensis Kunth,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,25,52,,
Persicaria capitata,Persicaria capitata (Buch.-Ham. ex D.Don) H.Gross,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,29,52,,
Plantago rigida,Plantago rigida Kunth,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,34,47,Marulanda,LC
Crocosmia crocosmiiflora,Crocosmia × crocosmiiflora (Lemoine) N.E.Br.,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocosmia,30,45,,
Kohleria spicata,Kohleria spicata (Kunth) Oerst.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Kohleria,22,44,,
Passiflora quimbayensis,Passiflora quimbayensis Ocampo & Forero,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,18,43,,
Masdevallia hortensis,Masdevallia hortensis Luer & R.Escobar,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Masdevallia,12,40,,
Callianthe megapotamica,Callianthe megapotamica (A.Spreng.) Dorr,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Callianthe,27,40,,
Passiflora apoda,Passiflora apoda Harms,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,11,39,,LC
Oncidium luteopurpureum,Oncidium luteopurpureum (Lindl.) Beer,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,20,38,,
Phytolacca rugosa,Phytolacca rugosa A.Braun & Bouché,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,15,38,,
Salvia scutellarioides,Salvia scutellarioides Kunth,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,21,38,,
Senecio formosus,Senecio formosus Kunth,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,21,37,El Pindo,
Passiflora antioquiensis,Passiflora antioquiensis H.Karst.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,13,37,,LC
Passiflora vitifolia,Passiflora vitifolia Kunth,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,7,37,,
Oncidium lehmannii,Oncidium lehmannii (Rchb.f.) M.W.Chase & N.H.Williams,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,19,36,,
Passiflora alnifolia,Passiflora alnifolia Kunth,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Passiflora,8,35,,
Baccharis latifolia,Baccharis latifolia (Ruiz & Pav.) Pers.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,98,35,El Pindo; Marulanda; Villamaría,LC
Fuchsia petiolaris,Fuchsia petiolaris Kunth,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,63,34,El Pindo; Marulanda,
Piper peltatum,Piper peltatum L.,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Piper,15,34,,
Guzmania multiflora,Guzmania multiflora (André) André ex Mez,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Guzmania,19,33,,
