================================================================================
  CLASSIFICATION REPORT - BioPlatform Caldas CNN
================================================================================

  Overall Accuracy:   0.8739 (87.4%)
  Top 5 Accuracy: 0.9514 (95.1%)
  Total Test Samples: 4,386
  Number of Classes:  719

────────────────────────────────────────────────────────────────────────────────
  F1-SCORE THRESHOLD SUMMARY  (F1 = harmonic mean of Precision & Recall)
────────────────────────────────────────────────────────────────────────────────
  F1 >= 0.9               =   337 species
  F1 >= 0.7 & < 0.9       =   300 species
  F1 >= 0.5 & < 0.7       =    71 species
  F1 < 0.5                =    11 species
────────────────────────────────────────────────────────────────────────────────

────────────────────────────────────────────────────────────────────────────────
  ▸ F1 >= 0.9  (337 species)
────────────────────────────────────────────────────────────────────────────────
  Species                                   Precision     Recall         F1    Support
────────────────────────────────────────────────────────────────────────────────
  Achlyodes_pallida                            1.0000     1.0000     1.0000          5
  Acropternis_orthonyx                         1.0000     1.0000     1.0000          5
  Actinote_neleus                              1.0000     1.0000     1.0000          5
  Adhemarius_sexoculata                        0.8333     1.0000     0.9091          5
  Aechmea_angustifolia                         0.8333     1.0000     0.9091          5
  Aglaeactis_cupripennis                       1.0000     1.0000     1.0000         15
  Alouatta_seniculus                           0.8333     1.0000     0.9091          5
  Amanita_muscaria                             1.0000     1.0000     1.0000          5
  Amastus_aconia                               1.0000     1.0000     1.0000          5
  Amastus_coccinator                           1.0000     1.0000     1.0000          5
  Amastus_episcotosia                          1.0000     1.0000     1.0000          5
  Amastus_thalassina                           1.0000     1.0000     1.0000          8
  Amazilia_tzacatl                             1.0000     1.0000     1.0000          9
  Ampelioides_tschudii                         0.8333     1.0000     0.9091          5
  Ampelion_rubrocristatus                      1.0000     1.0000     1.0000          5
  Anartia_amathea                              1.0000     0.9231     0.9600         13
  Anartia_jatrophae                            0.8333     1.0000     0.9091          5
  Ancognatha_scarabaeoides                     0.8333     1.0000     0.9091          5
  Andigena_hypoglauca                          1.0000     1.0000     1.0000         15
  Andigena_nigrirostris                        1.0000     1.0000     1.0000         14
  Andinobates_daleswansoni                     1.0000     1.0000     1.0000          5
  Anisognathus_igniventris                     0.9333     0.9333     0.9333         15
  Anisognathus_lacrymosus                      1.0000     0.9333     0.9655         15
  Anisognathus_somptuosus                      1.0000     1.0000     1.0000         15
  Anthoptus_epictetus                          1.0000     1.0000     1.0000          5
  Anthurium_caramantae                         0.8571     1.0000     0.9231          6
  Anthurium_crystallinum                       0.8333     1.0000     0.9091          5
  Aotus_griseimembra                           0.8333     1.0000     0.9091          5
  Aphelandra_runcinata                         1.0000     1.0000     1.0000          5
  Araneus_granadensis                          1.0000     1.0000     1.0000          5
  Aratinga_wagleri                             0.8333     1.0000     0.9091          5
  Archonias_flisa                              1.0000     1.0000     1.0000          5
  Ardea_cocoi                                  1.0000     1.0000     1.0000          5
  Argiope_argentata                            1.0000     1.0000     1.0000          7
  Aristolochia_cordiflora                      1.0000     1.0000     1.0000          5
  Arremon_assimilis                            1.0000     1.0000     1.0000         15
  Arremon_brunneinucha                         1.0000     1.0000     1.0000          5
  Ascalapha_odorata                            0.8889     1.0000     0.9412          8
  Asclepias_curassavica                        1.0000     1.0000     1.0000          5
  Asio_stygius                                 0.8333     1.0000     0.9091          5
  Atlapetes_flaviceps                          0.8333     1.0000     0.9091          5
  Atlapetes_pallidinucha                       1.0000     1.0000     1.0000          8
  Atractus_lehmanni                            0.8333     1.0000     0.9091          5
  Atta_cephalotes                              0.8333     1.0000     0.9091          5
  Aulacorhynchus_albivitta                     1.0000     1.0000     1.0000         11
  Aulacorhynchus_haematopygus                  1.0000     1.0000     1.0000          5
  Basileuterus_culicivorus                     1.0000     1.0000     1.0000          5
  Begonia_maurandiae                           1.0000     1.0000     1.0000          5
  Begonia_urticae                              1.0000     1.0000     1.0000         12
  Bellucia_pentamera                           0.8333     1.0000     0.9091          5
