scientific_name,sources,in_cnn_dataset,sib_id,threat_status,thumbnail_url
Abracris flavolineata,dataset,True,,,
Acacia decurrens,sib_caldas,False,56c3d1e2f0106c67230e7360,,
Acaena elongata,sib_caldas,False,56c408aaf0106c67230e7375,,https://inaturalist-open-data.s3.amazonaws.com/photos/121075133/original.jpeg
Accipiter striatus,sib_caldas,False,56bcf0f6f0106c67230e72e8,Preocupación menor (LC),https://upload.wikimedia.org/wikipedia/commons/c/c2/Accipiter_striatus_3.jpg
Achlyodes pallida,dataset,True,,,
Acrocomia aculeata,sib_caldas,False,56cd1fec207ecea54a561e62,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/165490743/original.jpeg
Acropternis orthonyx,dataset,True,,,
Actinote neleus,dataset,True,,,
Actinote stratonice,dataset,True,,,
Actitis macularius,sib_caldas,False,56bcf0f6f0106c67230e72e9,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Actitis_macularia.jpg
Adelomyia melanogenys,dataset,True,,,
Adhemarius sexoculata,dataset,True,,,
Adiantum macrophyllum,sib_caldas,False,56ce489e3c16479905cba798,,https://inaturalist-open-data.s3.amazonaws.com/photos/111753441/original.jpg
Adiantum raddianum,sib_caldas,False,56ce5e683c16479905cba79e,,https://inaturalist-open-data.s3.amazonaws.com/photos/113545222/original.jpg
Aechmea angustifolia,dataset,True,,,
Ageratina pichinchensis,sib_caldas,False,56c4171df0106c67230e737d,,https://inaturalist-open-data.s3.amazonaws.com/photos/11756234/large.jpg
Aglaeactis cupripennis,dataset,True,,,
Aglaiocercus coelestis,dataset,True,,,
Aglaiocercus kingii,dataset|sib_caldas,True,56bdec08f0106c67230e72ed,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/177242930/original.jpeg
Aiouea montana,dataset,True,,,
Alluaudomyia,sib_caldas,False,56dda8cc83c45700544e3bcc,,https://inaturalist-open-data.s3.amazonaws.com/photos/106812286/original.jpg
Alnus acuminata,sib_caldas,False,6075d020f9a7c2b0123941c6,,https://inaturalist-open-data.s3.amazonaws.com/photos/179109712/large.jpeg
Alouatta seniculus,dataset,True,,,
Altinote ozomene,dataset,True,,,
Amanita muscaria,dataset|sib_caldas,True,5ce47445fa6d7c740ac20756,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Amanita_muscaria_%2849147920947%29.jpg
Amastus aconia,dataset,True,,,
Amastus coccinator,dataset,True,,,
Amastus episcotosia,dataset,True,,,
Amastus thalassina,dataset,True,,,
Amazilia tzacatl,dataset,True,,,
Amazona mercenaria,dataset,True,,,
Amazona ochrocephala,sib_caldas,False,56e7943b83c45700544e419d,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/174611229/original.jpeg
Amblycercus holosericeus,sib_caldas,False,56bdf23ef0106c67230e72ee,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/a/ad/Amblycercus_holosericeus.jpg
Ambrysus,sib_caldas,False,56ddacf583c45700544e3bcd,,https://inaturalist-open-data.s3.amazonaws.com/photos/153545118/large.jpg
Ampelioides tschudii,dataset,True,,,
Ampelion rubrocristatus,dataset|sib_caldas,True,56bdf8ccf0106c67230e72ef,,http://upload.wikimedia.org/wikipedia/commons/9/93/Ampelion_rubrocristatus_-NBII_Image_Gallery-a00278.jpg
Ampelion rufaxilla,dataset,True,,,
Anacroneuria,sib_caldas,False,56ddb09383c45700544e3bce,,https://inaturalist-open-data.s3.amazonaws.com/photos/865814/original.jpg
Anartia amathea,dataset,True,,,
Anartia jatrophae,dataset,True,,,
Anas andium,sib_caldas,False,56bff82cf0106c67230e72f5,,https://inaturalist-open-data.s3.amazonaws.com/photos/176713984/original.jpg
Anas discors,sib_caldas,False,56c01558f0106c67230e72f7,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Anas_discors-001.jpg
Anas platyrhynchos,sib_caldas,False,56c02fc4f0106c67230e72f8,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/9/9c/Mallard_male_female.jpg
Anchytarsus,sib_caldas,False,56ddb5ce83c45700544e3bd0,,https://inaturalist-open-data.s3.amazonaws.com/photos/69789817/original.jpeg
Ancognatha scarabaeoides,dataset,True,,,
Ancognatha vulgaris,dataset,True,,,
Andesanthus lepidotus,dataset,True,,,
Andigena hypoglauca,dataset|sib_caldas,True,56e777ca83c45700544e401b,Casi amenazado (NT),https://inaturalist-open-data.s3.amazonaws.com/photos/177039512/original.jpeg
Andigena nigrirostris,dataset|sib_caldas,True,56c08cfef0106c67230e72f9,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/173401700/large.jpg
Andinia pilosella,dataset,True,,,
Andinobates daleswansoni,dataset,True,,,
Andinobates opisthomelas,sib_caldas,False,56caa682f0106c67230e7470,Vulnerable (VU),https://inaturalist-open-data.s3.amazonaws.com/photos/217272610/original.jpeg
Aniba perutilis,sib_caldas|sib_caldas,False,567bdc14f289f5a40c0cd32e,En peligro crítico (CR),https://inaturalist-open-data.s3.amazonaws.com/photos/11311037/large.jpeg
Anisognathus igniventris,dataset|sib_caldas,True,56c0a510f0106c67230e72fa,Preocupación menor (LC),https://inaturalist-open-data.s3.amazonaws.com/photos/174561595/original.jpeg
Anisognathus lacrymosus,dataset,True,,,
Anisognathus somptuosus,dataset,True,,,
Annona cherimola,sib_caldas,False,56e59c3e83c45700544e3e75,,http://upload.wikimedia.org/wikipedia/commons/d/d1/Cherimoya_tree_hg.jpg
Annona rensoniana,sib_caldas,False,56e5db4e83c45700544e3e85,,https://inaturalist-open-data.s3.amazonaws.com/photos/196297612/original.jpeg
Anolis antonii,dataset|sib_caldas,True,56cfbd973c16479905cba7fe,,https://inaturalist-open-data.s3.amazonaws.com/photos/178579325/original.jpg
Anolis apollinaris,sib_caldas,False,614cf8960624656c7be60066,,https://inaturalist-open-data.s3.amazonaws.com/photos/110528167/original.jpeg
Anolis eulaemus,sib_caldas,False,614cfd3f0624656c7be6023c,,https://inaturalist-open-data.s3.amazonaws.com/photos/178202703/original.jpeg
Anolis heterodermus,sib_caldas,False,56e7931b83c45700544e4189,,https://inaturalist-open-data.s3.amazonaws.com/photos/172319426/large.jpg
Anolis quimbaya,dataset,True,,,
Anolis ventrimaculatus,dataset,True,,,
Anteos clorinde,dataset,True,,,
Anthanassa drusilla,dataset,True,,,
Anthoptus epictetus,dataset,True,,,
Anthracothorax nigricollis,dataset,True,,,
Anthurium caramantae,dataset,True,,,
Anthurium crystallinum,dataset,True,,,
Aotus griseimembra,dataset,True,,,
Aotus lemurinus,dataset|sib_caldas|sib_caldas,True,59d073445f369343442f7d20,,https://farm7.staticflickr.com/6001/6199616555_6c454c0224.jpg
Apeiba membranacea,sib_caldas,False,6074a5af08fc3072536c2395,,https://inaturalist-open-data.s3.amazonaws.com/photos/150805876/large.jpg
Aphelandra runcinata,dataset,True,,,
Apis mellifera,dataset,True,,,
Ara ararauna,sib_caldas,False,56e77d4483c45700544e4048,Preocupación menor (LC),https://upload.wikimedia.org/wikipedia/commons/2/2d/Ara-ararauna-0016a.jpg
Ara macao,sib_caldas,False,56e7803783c45700544e405b,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/1/12/Ara_macao_-Puntarenas_Province%2C_Costa_Rica-8.jpg
Ara severus,dataset|sib_caldas,True,56e780f083c45700544e4065,Preocupación menor (LC),https://upload.wikimedia.org/wikipedia/commons/0/02/Ara_severa_-Chestnut-fronted_Macaw-two_in_aviary.jpg
Aragoa occidentalis,sib_caldas,False,5b5b73f9f0d3bfe030574aeb,,https://inaturalist-open-data.s3.amazonaws.com/photos/8579620/original.jpg
Araneus granadensis,dataset,True,,,
Aratinga pertinax,dataset,True,,,
Aratinga wagleri,dataset,True,,,
Araucaria columnaris,dataset,True,,,
Archonias flisa,dataset,True,,,
Ardea alba,dataset|sib_caldas,True,56c0af4df0106c67230e72fb,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/7/7b/Great_egret_%28Ardea_alba%29_Tobago.jpg
Ardea cocoi,dataset|sib_caldas,True,56e79a2e83c45700544e41fd,Preocupación menor (LC),http://upload.wikimedia.org/wikipedia/commons/0/0c/Ardea_cocoi.jpg
Argia,sib_caldas,False,56ddba5483c45700544e3bd1,,https://inaturalist-open-data.s3.amazonaws.com/photos/151447154/original.jpg
Argiope argentata,dataset,True,,,
Aristolochia cordiflora,dataset,True,,,
Armillaria mellea,sib_caldas,False,628ff85617a63cb80cd1cb8e,,https://inaturalist-open-data.s3.amazonaws.com/photos/247136067/large.jpg
Arremon assimilis,dataset|sib_caldas,True,56c0cf38f0106c67230e7300,,https://inaturalist-open-data.s3.amazonaws.com/photos/12739482/original.jpg
Arremon brunneinucha,dataset,True,,,
Artibeus obscurus,sib_caldas,False,56c144b9f0106c67230e730b,,https://multimedia20stg.blob.core.windows.net/especies/artibeus-obscurusR.jpg
Arundina graminifolia,dataset,True,,,
Ascalapha odorata,dataset,True,,,
Asclepias curassavica,dataset,True,,,
Asio stygius,dataset|sib_caldas,True,56c2484cf0106c67230e7327,,https://upload.wikimedia.org/wikipedia/commons/7/76/Asio_stygius_-_Stygian_Owl.JPG
Asplundia moritziana,sib_caldas,False,5fedf77336aa34101237efb8,No evaluado (NE),http://sweetgum.nybg.org/images3/1502/507/00879317.jpg
Asthenes flammulata,sib_caldas,False,56c25484f0106c67230e7328,Preocupación menor (LC),https://static.inaturalist.org/photos/74284087/original.jpeg
