Kingdom,Phylum,Class,Order,Family,Genus,ScientificName,CommonName,Slug,Description,ConservationStatus,IsSensitive,ThumbnailUrl
Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Abracris,Abracris flavolineata,Saltamontes de rayas amarillas,abracris-flavolineata,Es un saltamontes de tamaño mediano caracterizado por líneas amarillas longitudinales en su cuerpo. Habita principalmente en zonas de pastizales y áreas abiertas de los Andes colombianos.,NE,False,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia decurrens,Acacia negra,acacia-decurrens,"Árbol de rápido crecimiento introducido en Colombia para reforestación y control de erosión. Posee hojas bipinnadas y flores amarillas en racimos, siendo muy común en las zonas altas de Caldas.",NE,False,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Acaena,Acaena elongata,Abrojo de páramo,acaena-elongata,Planta herbácea perenne que habita en ecosistemas de alta montaña y páramos. Sus frutos poseen espinas ganchudas que facilitan su dispersión al adherirse al pelaje de animales.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/121075133/original.jpeg
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,Gavilán estriado,accipiter-striatus,Es una rapaz pequeña y ágil que habita en bosques montañosos y zonas rurales. Se alimenta principalmente de aves pequeñas y es un controlador biológico natural de poblaciones.,LC,False,https://upload.wikimedia.org/wikipedia/commons/c/c2/Accipiter_striatus_3.jpg
Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Achlyodes,Achlyodes pallida,Saltarina pálida,achlyodes-pallida,Mariposa de la familia Hesperiidae con patrones de coloración crípticos en tonos marrones y grises. Es común encontrarla en bordes de bosque y senderos húmedos de la región andina.,NE,False,
Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Acrocomia,Acrocomia aculeata,Corozo,acrocomia-aculeata,Palma robusta con tronco espinoso que produce frutos comestibles ricos en aceites. Es una especie emblemática de los paisajes tropicales y subandinos de Colombia.,LC,False,https://inaturalist-open-data.s3.amazonaws.com/photos/165490743/original.jpeg
Animalia,Chordata,Aves,Passeriformes,Rhinocryptidae,Acropternis,Acropternis orthonyx,Tapaculo ocelado,acropternis-orthonyx,Ave de hábitos terrestres y comportamiento esquivo que habita en el sotobosque de bosques nublados. Se distingue por su plumaje manchado y su canto característico en las mañanas.,LC,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Actinote,Actinote neleus,Mariposa de alas transparentes,actinote-neleus,Mariposa de vuelo lento que suele encontrarse en áreas abiertas y jardines de montaña. Sus alas presentan patrones de colores cálidos que advierten sobre su toxicidad a los depredadores.,NE,False,
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Actinote,Actinote stratonice,Mariposa Actinote,actinote-stratonice,Especie de mariposa neotropical que se alimenta de plantas del género Mikania. Es frecuente en los ecosistemas de transición entre el bosque andino y zonas de cultivo.,NE,False,
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis macularius,Andarríos maculado,actitis-macularius,Ave migratoria que visita las riberas de ríos y lagunas en Caldas durante el invierno boreal. Se reconoce fácilmente por su movimiento constante de balanceo de la cola mientras camina.,LC,False,https://upload.wikimedia.org/wikipedia/commons/a/aa/Actitis_macularia.jpg
