species,precision,recall,f1_score,support
Abracris_flavolineata,0.6667,0.8,0.7273,5
Achlyodes_pallida,1.0,1.0,1.0,5
Acropternis_orthonyx,1.0,1.0,1.0,5
Actinote_neleus,1.0,1.0,1.0,5
Actinote_stratonice,0.75,0.6,0.6667,5
Adelomyia_melanogenys,1.0,0.75,0.8571,12
Adhemarius_sexoculata,0.8333,1.0,0.9091,5
Aechmea_angustifolia,0.8333,1.0,0.9091,5
Aglaeactis_cupripennis,1.0,1.0,1.0,15
Aglaiocercus_coelestis,1.0,0.8,0.8889,5
Aglaiocercus_kingii,0.8571,0.8,0.8276,15
Aiouea_montana,0.5714,0.8,0.6667,5
Alouatta_seniculus,0.8333,1.0,0.9091,5
Altinote_ozomene,0.75,0.8571,0.8,7
Amanita_muscaria,1.0,1.0,1.0,5
Amastus_aconia,1.0,1.0,1.0,5
Amastus_coccinator,1.0,1.0,1.0,5
Amastus_episcotosia,1.0,1.0,1.0,5
Amastus_thalassina,1.0,1.0,1.0,8
Amazilia_tzacatl,1.0,1.0,1.0,9
Amazona_mercenaria,0.8,0.8,0.8,5
Ampelioides_tschudii,0.8333,1.0,0.9091,5
Ampelion_rubrocristatus,1.0,1.0,1.0,5
Ampelion_rufaxilla,0.8,0.8,0.8,5
Anartia_amathea,1.0,0.9231,0.96,13
Anartia_jatrophae,0.8333,1.0,0.9091,5
Ancognatha_scarabaeoides,0.8333,1.0,0.9091,5
Ancognatha_vulgaris,1.0,0.8,0.8889,5
Andesanthus_lepidotus,0.6,0.6,0.6,5
Andigena_hypoglauca,1.0,1.0,1.0,15
Andigena_nigrirostris,1.0,1.0,1.0,14
Andinia_pilosella,1.0,0.8,0.8889,5
Andinobates_daleswansoni,1.0,1.0,1.0,5
Anisognathus_igniventris,0.9333,0.9333,0.9333,15
Anisognathus_lacrymosus,1.0,0.9333,0.9655,15
Anisognathus_somptuosus,1.0,1.0,1.0,15
Anolis_antonii,0.7778,0.875,0.8235,8
Anolis_quimbaya,1.0,0.6,0.75,5
Anolis_ventrimaculatus,0.8,0.8,0.8,5
Anteos_clorinde,0.5714,0.8,0.6667,5
Anthanassa_drusilla,1.0,0.8,0.8889,5
Anthoptus_epictetus,1.0,1.0,1.0,5
Anthracothorax_nigricollis,1.0,0.6,0.75,5
Anthurium_caramantae,0.8571,1.0,0.9231,6
Anthurium_crystallinum,0.8333,1.0,0.9091,5
Aotus_griseimembra,0.8333,1.0,0.9091,5
Aotus_lemurinus,0.6,0.6,0.6,5
Aphelandra_runcinata,1.0,1.0,1.0,5
Apis_mellifera,0.9091,0.8333,0.8696,12
Ara_severus,1.0,0.8,0.8889,5
Araneus_granadensis,1.0,1.0,1.0,5
Aratinga_pertinax,1.0,0.8,0.8889,5
Aratinga_wagleri,0.8333,1.0,0.9091,5
Araucaria_columnaris,1.0,0.8,0.8889,5
Archonias_flisa,1.0,1.0,1.0,5
Ardea_alba,1.0,0.4,0.5714,5
Ardea_cocoi,1.0,1.0,1.0,5
Argiope_argentata,1.0,1.0,1.0,7
Aristolochia_cordiflora,1.0,1.0,1.0,5
Arremon_assimilis,1.0,1.0,1.0,15
Arremon_brunneinucha,1.0,1.0,1.0,5
Arundina_graminifolia,0.8,0.8,0.8,5
Ascalapha_odorata,0.8889,1.0,0.9412,8
Asclepias_curassavica,1.0,1.0,1.0,5
Asio_stygius,0.8333,1.0,0.9091,5
Atlapetes_albinucha,0.5,0.4,0.4444,5
Atlapetes_flaviceps,0.8333,1.0,0.9091,5
Atlapetes_pallidinucha,1.0,1.0,1.0,8
Atlapetes_schistaceus,0.8667,0.8667,0.8667,15
Atractus_lehmanni,0.8333,1.0,0.9091,5
Atractus_obesus,1.0,0.8,0.8889,5
Atta_cephalotes,0.8333,1.0,0.9091,5
Aulacorhynchus_albivitta,1.0,1.0,1.0,11
Aulacorhynchus_haematopygus,1.0,1.0,1.0,5
Baccharis_latifolia,0.5556,1.0,0.7143,5
Bangsia_melanochlamys,0.8,0.8,0.8,5
Basileuterus_culicivorus,1.0,1.0,1.0,5
Basiliscus_galeritus,1.0,0.8,0.8889,5
Begonia_lehmannii,0.8,0.8,0.8,5
Begonia_maurandiae,1.0,1.0,1.0,5
Begonia_umbellata,0.8333,0.8333,0.8333,6
Begonia_urticae,1.0,1.0,1.0,12
Bellucia_pentamera,0.8333,1.0,0.9091,5
Besleria_cinnabarina,1.0,0.8,0.8889,5
Boana_platanera,0.6,0.6,0.6,5
Boana_pugnax,0.5,0.8,0.6154,5
Bocconia_frutescens,1.0,0.8,0.8889,5
Boissonneaua_flavescens,0.875,0.9333,0.9032,15
Boissonneaua_jardini,1.0,1.0,1.0,5
Bolborhynchus_ferrugineifrons,0.7143,1.0,0.8333,5
Bolitoglossa_lozanoi,0.8333,1.0,0.9091,5
Bombus_funebris,0.8,0.8,0.8,5
Bombus_hortulanus,0.8333,1.0,0.9091,5
Bombus_pauloensis,1.0,1.0,1.0,5
Bombus_rubicundus,0.6667,0.8,0.7273,5
Bothriechis_schlegelii,1.0,0.8,0.8889,5
Bubulcus_ibis,1.0,0.6667,0.8,6
Burmeistera_bullatifolia,1.0,0.8,0.8889,5
Busarellus_nigricollis,1.0,1.0,1.0,5
Buteo_albicaudatus,0.75,0.6,0.6667,5
Buteo_brachyurus,1.0,0.6,0.75,5
Buteo_platypterus,0.75,0.9,0.8182,10
Buthraupis_montana,0.9,0.9,0.9,10
Butorides_striata,0.8,0.8,0.8,5
Cacicus_chrysonotus,0.6667,0.8,0.7273,5
Caiman_crocodilus,1.0,1.0,1.0,5
Caligo_atreus,1.0,1.0,1.0,5
Caligo_oileus,1.0,1.0,1.0,5
Callianthe_megapotamica,0.8,0.8,0.8,5
Callianthe_picta,0.8,0.8,0.8,5
Calliphlox_mitchellii,0.5714,0.8,0.6667,5
Campephilus_pollens,1.0,0.8,0.8889,5
Capito_hypoleucus,1.0,1.0,1.0,5
Capsicum_dimorphum,0.375,0.6,0.4615,5
Caracara_plancus,1.0,0.875,0.9333,8
Cardellina_canadensis,1.0,0.8,0.8889,5
Castilia_eranites,1.0,0.8,0.8889,5
Castilleja_arvensis,0.5714,0.8,0.6667,5
Castilleja_fissifolia,1.0,1.0,1.0,5
Catamblyrhynchus_diadema,1.0,1.0,1.0,5
Catamenia_homochroa,1.0,0.6,0.75,5
Catamenia_inornata,0.6667,0.8,0.7273,5
Catasetum_tabulare,1.0,1.0,1.0,5
Catasticta_prioneris,1.0,1.0,1.0,5
Cathartes_aura,1.0,0.8,0.8889,5
Catharus_fuscater,0.8,0.8,0.8,5
Catharus_ustulatus,1.0,0.8333,0.9091,6
Cecropia_angustifolia,0.5714,0.8,0.6667,5
Cecropia_telealba,0.8,0.8,0.8,5
Centropogon_ferrugineus,1.0,0.8,0.8889,5
Centropogon_foetidus,0.8,0.8,0.8,5
Centropogon_leucophyllus,1.0,0.8,0.8889,5
Cerdocyon_thous,1.0,1.0,1.0,5
Ceroxylon_quindiuense,0.625,1.0,0.7692,5
Certhiaxis_cinnamomeus,1.0,1.0,1.0,5
Chaetocercus_mulsant,0.8,0.6667,0.7273,12
Chaetogastra_gracilis,1.0,0.8,0.8889,5
Chaetogastra_grossa,1.0,1.0,1.0,5
Chaetogastra_mollis,0.8,0.8,0.8,5
Chalcostigma_herrani,1.0,1.0,1.0,12
Chalybura_buffonii,0.8333,1.0,0.9091,5
Chamaedorea_linearis,1.0,0.8,0.8889,5
Chamaedorea_pinnatifrons,1.0,0.8,0.8889,5
Chamaepetes_goudotii,1.0,0.7857,0.88,14
Chauna_chavaria,1.0,1.0,1.0,5
Chironius_monticola,0.8333,1.0,0.9091,5
Chloroceryle_americana,0.7143,1.0,0.8333,5
Chlorophanes_spiza,1.0,0.9,0.9474,10
Chlorornis_riefferii,1.0,1.0,1.0,5
Chlorospingus_flavopectus,0.5714,0.8,0.6667,5
Chlorostilbon_melanorhynchus,0.5,0.2,0.2857,5
Chlosyne_lacinia,1.0,1.0,1.0,5
Choeradodis_rhombicollis,0.6667,0.8,0.7273,5
Chrysomus_icterocephalus,1.0,0.8,0.8889,5
Chrysso_nigriceps,1.0,1.0,1.0,5
Cinclodes_excelsior,0.8333,1.0,0.9091,5
Cinclus_leucocephalus,0.9,1.0,0.9474,9
Cinnycerthia_olivascens,1.0,0.8,0.8889,5
Cistothorus_platensis,0.8,0.6667,0.7273,6
Clathrus_archeri,1.0,0.8,0.8889,5
Clelia_equatoriana,0.7143,1.0,0.8333,5
Cnemathraupis_eximia,1.0,1.0,1.0,5
Cnemoscopus_rubrirostris,0.75,0.5,0.6,6
Coeligena_coeligena,0.9091,1.0,0.9524,10
Coeligena_lutetiae,0.8333,1.0,0.9091,15
Coeligena_torquata,0.8462,0.7333,0.7857,15
Coeligena_wilsoni,0.625,1.0,0.7692,5
Coereba_flaveola,1.0,0.2,0.3333,5
Colaptes_punctigula,0.8333,1.0,0.9091,5
Colaptes_rivolii,1.0,1.0,1.0,11
Colaptes_rubiginosus,1.0,0.8,0.8889,5
Colibri_coruscans,0.9375,1.0,0.9677,15
Colibri_cyanotus,0.8333,0.9091,0.8696,11
Colobura_dirce,0.8333,1.0,0.9091,5
Colonia_colonus,1.0,1.0,1.0,5
Columbina_talpacoti,0.7,0.7,0.7,10
Columnea_ceticeps,1.0,1.0,1.0,5
Columnea_fuscihirta,0.625,1.0,0.7692,5
Columnea_strigosa,1.0,1.0,1.0,5
Comparettia_falcata,0.7143,1.0,0.8333,5
Conchylodes_bryophilalis,1.0,1.0,1.0,5
Conirostrum_albifrons,0.625,1.0,0.7692,5
Conirostrum_sitticolor,1.0,0.8,0.8889,5
Consul_panariste,1.0,0.8,0.8889,5
Coprinellus_disseminatus,0.8333,1.0,0.9091,5
Corades_chelonis,1.0,1.0,1.0,5
Coragyps_atratus,1.0,1.0,1.0,12
Cornu_aspersum,1.0,0.8,0.8889,5
Crassocephalum_crepidioides,1.0,1.0,1.0,5
Crocosmia_crocosmiiflora,1.0,0.8,0.8889,5
Crotophaga_ani,0.8,1.0,0.8889,8
Crypturellus_soui,1.0,1.0,1.0,5
Cupiennius_coccineus,0.4,0.8,0.5333,5
Cyanocorax_affinis,0.8333,1.0,0.9091,5
Cyanocorax_yncas,0.7143,1.0,0.8333,5
Cyanolyca_armillata,1.0,1.0,1.0,5
Cyanopepla_micans,1.0,1.0,1.0,5
Cybdelis_mnasylus,1.0,1.0,1.0,5
Cyclarhis_nigrirostris,0.6,0.6,0.6,5
Cyclocephala_lunulata,0.8333,1.0,0.9091,5
Cyrtochilum_annulare,1.0,0.8,0.8889,5
Cyrtochilum_diceratum,1.0,1.0,1.0,5
Cyrtochilum_divaricatum,0.7143,1.0,0.8333,5
Cyrtochilum_halteratum,1.0,1.0,1.0,5
Cyrtochilum_murinum,1.0,0.8,0.8889,5
Cyrtochilum_scabiosum,1.0,1.0,1.0,5
Cyrtochilum_tricostatum,0.8,0.8,0.8,5
Danaus_plexippus,1.0,0.6,0.75,5
Dasyprocta_punctata,0.7143,1.0,0.8333,5
Dendrobates_truncatus,1.0,1.0,1.0,5
Dendrocincla_fuliginosa,0.8333,1.0,0.9091,5
Dendropsophus_columbianus,0.75,0.9,0.8182,10
Diabrotica_decempunctata,0.8333,1.0,0.9091,5
Diaethria_clymena,1.0,1.0,1.0,5
Didelphis_marsupialis,1.0,1.0,1.0,5
Diglossa_albilatera,0.8889,0.8,0.8421,10
Diglossa_cyanea,0.9375,1.0,0.9677,15
Diglossa_humeralis,0.6,0.6,0.6,5
Diglossa_lafresnayii,0.8,0.8,0.8,5
Dione_glycera,1.0,1.0,1.0,5
Dipsas_sanctijoannis,1.0,1.0,1.0,5
Donacobius_atricapilla,1.0,1.0,1.0,5
Doxocopa_cyane,0.8,0.8,0.8,5
Dracula_iricolor,0.6667,0.8,0.7273,5
Dryas_iulia,0.8,0.8,0.8,5
Drymonia_lanceolata,1.0,0.8,0.8889,5
Dryocopus_lineatus,1.0,1.0,1.0,5
Dubusia_taeniata,1.0,0.8,0.8889,5
Egretta_thula,0.4,0.8,0.5333,5
Eira_barbara,0.6667,0.4,0.5,5
Elaenia_flavogaster,0.75,0.6,0.6667,5
Elaenia_frantzii,0.8333,1.0,0.9091,5
Elanoides_forficatus,1.0,0.8,0.8889,5
Elleanthus_aurantiacus,1.0,0.8,0.8889,5
Elysius_atrata,1.0,0.8,0.8889,5
Endrosis_sarcitrella,0.6667,0.8,0.7273,5
Ensifera_ensifera,0.9333,0.9333,0.9333,15
Epidendrum_cleistocoleum,0.8,0.8,0.8,5
Epidendrum_cottoniiflorum,0.8,0.8,0.8,5
Epidendrum_cylindrostachys,0.8333,1.0,0.9091,5
Epidendrum_fimbriatum,1.0,0.8,0.8889,10
Epidendrum_melinanthum,0.75,0.6,0.6667,5
Epidendrum_porphyreum,0.8333,1.0,0.9091,5
Epidendrum_posadarum,0.8333,1.0,0.9091,5
Epiphile_chrysites,1.0,1.0,1.0,5
Epiphile_epimenes,1.0,0.8,0.8889,5
Equisetum_bogotense,1.0,0.8,0.8889,5
Erato_vulcanica,1.0,0.8,0.8889,5
Eresia_clio,1.0,1.0,1.0,5
Erinnyis_ello,1.0,0.8,0.8889,5
Eriocnemis_derbyi,1.0,0.8,0.8889,5
Eriocnemis_mosquera,0.8889,1.0,0.9412,8
Eriophora_edax,1.0,1.0,1.0,5
Eryphanis_lycomedon,1.0,0.8,0.8889,5
Erythrolamprus_bizona,1.0,0.8,0.8889,5
Erythrolamprus_epinephalus,0.6667,0.4,0.5,5
Erythrolamprus_epinephelus,1.0,0.6,0.75,5
Espadarana_prosoblepon,0.8,0.8,0.8,5
Espeletia_hartwegiana,1.0,1.0,1.0,5
Eubucco_bourcierii,1.0,1.0,1.0,5
Eudocima_procus,0.6667,0.8,0.7273,5
Eueides_procula,1.0,1.0,1.0,5
Eulaema_cingulata,0.6667,0.8,0.7273,5
Eulaema_meriana,1.0,0.8,0.8889,5
Eulaema_polychroma,1.0,0.8,0.8889,5
Euphonia_cyanocephala,0.8333,1.0,0.9091,5
Euphonia_laniirostris,0.8333,0.9091,0.8696,11
Euphonia_xanthogaster,1.0,0.8,0.8889,5
Euphorbia_hirta,0.75,0.6,0.6667,5
Euptychoides_saturnus,1.0,1.0,1.0,5
Euryglottis_aper,1.0,1.0,1.0,5
Falco_sparverius,1.0,0.6,0.75,5
Florisuga_mellivora,0.875,1.0,0.9333,7
Fluvicola_pica,1.0,0.8,0.8889,5
Forpus_conspicillatus,1.0,0.8889,0.9412,9
Fuchsia_boliviana,1.0,1.0,1.0,5
Fuchsia_nigricans,0.6667,0.8,0.7273,5
Fuchsia_petiolaris,1.0,0.8,0.8889,5
Gaiadendron_punctatum,1.0,0.2,0.3333,5
Galium_hypocarpium,1.0,1.0,1.0,5
Gallinula_chloropus,1.0,0.8,0.8889,5
Gasteracantha_cancriformis,1.0,1.0,1.0,5
Gaultheria_myrsinoides,0.8333,1.0,0.9091,5
Gentiana_sedifolia,1.0,0.8,0.8889,5
Geonoma_undata,1.0,1.0,1.0,5
Geospizopsis_unicolor,0.8333,1.0,0.9091,5
Geranoaetus_melanoleucus,1.0,0.4,0.5714,5
Glossoloma_schultzei,1.0,1.0,1.0,5
Golofa_eacus,1.0,1.0,1.0,5
Golofa_porteri,1.0,1.0,1.0,9
Gonatodes_albogularis,0.6,0.6,0.6,5
Gonora_hyelosioides,1.0,1.0,1.0,5
Grallaria_alvarezi,1.0,0.8333,0.9091,6
Grallaria_milleri,1.0,1.0,1.0,16
Grallaria_nuchalis,1.0,1.0,1.0,8
Grallaria_quitensis,0.875,1.0,0.9333,7
Grallaria_ruficapilla,1.0,1.0,1.0,15
Grallaria_rufocinerea,1.0,1.0,1.0,14
Grallaria_saturata,1.0,1.0,1.0,15
Grallaricula_lineifrons,1.0,1.0,1.0,15
Grallaricula_nana,1.0,1.0,1.0,12
Graphita_griphe,0.8,0.8,0.8,5
Guzmania_multiflora,0.5556,1.0,0.7143,5
Guzmania_triangularis,0.5,0.2,0.2857,5
Gymnetis_pantherina,1.0,0.8,0.8889,5
Hafferia_immaculata,0.8333,1.0,0.9091,5
Halictus_ligatus,0.8333,1.0,0.9091,5
Hapalopsittaca_amazonina,0.8,0.8,0.8,5
Harmonia_axyridis,0.7143,1.0,0.8333,5
Hedychium_coronarium,1.0,1.0,1.0,5
Heliangelus_exortis,0.7778,0.9333,0.8485,15
Heliconia_bihai,1.0,1.0,1.0,5
Heliconia_burleana,1.0,0.8,0.8889,5
Heliconia_griggsiana,1.0,0.8,0.8889,5
Heliconia_latispatha,0.8333,1.0,0.9091,5
Heliconius_charithonia,1.0,1.0,1.0,5
Heliconius_clysonymus,1.0,1.0,1.0,5
Heliconius_cydno,1.0,1.0,1.0,6
Heliconius_doris,1.0,0.8,0.8889,5
Heliconius_eleuchia,1.0,0.8,0.8889,5
Heliconius_erato,1.0,0.8571,0.9231,7
Heliodoxa_imperatrix,1.0,0.6,0.75,5
Heliodoxa_rubinoides,1.0,0.9167,0.9565,12
Heliomaster_longirostris,1.0,0.6,0.75,5
Hellmayrea_gularis,0.875,1.0,0.9333,7
Hemidactylus_frenatus,1.0,0.6,0.75,5
Hemithraupis_guira,0.8333,1.0,0.9091,5
Hermeuptychia_harmonia,1.0,0.8,0.8889,5
Herpetotheres_cachinnans,0.8,0.8,0.8,5
Herpothallon_rubrocinctum,1.0,1.0,1.0,5
Heterogomphus_mniszechi,0.8,0.8,0.8,5
Heterogomphus_schoenherri,1.0,1.0,1.0,7
Hylophilus_semibrunneus,0.8,0.8,0.8,5
Hypanartia_kefersteini,1.0,1.0,1.0,5
Hypanartia_lethe,0.8333,1.0,0.9091,5
Hypopyrrhus_pyrohypogaster,0.8333,1.0,0.9091,5
Icterus_chrysater,0.7778,0.875,0.8235,8
Icterus_nigrogularis,0.6667,0.8,0.7273,5
Iguana_iguana,0.8571,0.75,0.8,8
Imantodes_cenchoa,1.0,0.8,0.8889,5
Impatiens_walleriana,1.0,0.6,0.75,5
Ipomoea_batatas,1.0,0.4,0.5714,5
Ipomoea_indica,0.4286,0.6,0.5,5
Ipomoea_purpurea,1.0,0.8,0.8889,5
Iridosornis_porphyrocephalus,1.0,1.0,1.0,5
Iridosornis_rufivertex,1.0,1.0,1.0,5
Ithomia_iphianassa,1.0,1.0,1.0,5
Jacana_jacana,1.0,0.8,0.8889,5
Janatella_fellula,1.0,1.0,1.0,5
Juglans_neotropica,1.0,0.4,0.5714,5
Junonia_evarete,1.0,1.0,1.0,5
Kinosternon_leucostomum,0.8333,1.0,0.9091,5
Kleinothraupis_atropileus,1.0,0.8333,0.9091,6
Kohleria_affinis,1.0,0.875,0.9333,8
Kohleria_inaequalis,1.0,1.0,1.0,5
Kohleria_spicata,0.8333,1.0,0.9091,5
Kohleria_warszewiczii,1.0,1.0,1.0,5
Kukulcania_hibernalis,0.8333,1.0,0.9091,5
Lafresnaya_lafresnayi,0.8333,1.0,0.9091,10
Langucys_nigropuncta,1.0,1.0,1.0,5
Lasiophila_prosymna,1.0,0.8571,0.9231,7
Lentinus_flexipes,1.0,0.6,0.75,5
Lepanthes_dunstervilleorum,0.6,0.6,0.6,5
Lepanthes_gargantua,1.0,1.0,1.0,5
Lepanthes_jardinensis,0.8,0.8,0.8,5
Lepanthes_mucronata,0.7143,1.0,0.8333,5
Lepanthes_tachirensis,0.8333,1.0,0.9091,5
Lepidocolaptes_lacrymiger,0.6364,0.7778,0.7,9
Lepidocolaptes_souleyetii,0.5714,0.8,0.6667,5
Leptodeira_ornata,0.6667,0.8,0.7273,5
Leptophobia_aripa,0.7143,1.0,0.8333,5
Leptopogon_rufipectus,1.0,1.0,1.0,5
Leptosittaca_branickii,0.6667,0.6667,0.6667,6
Leptotila_plumbeiceps,0.8,0.8,0.8,5
Leuconotopicus_fumigatus,0.8333,1.0,0.9091,5
Leucopternis_princeps,0.8,0.8,0.8,5
Leuenbergeria_bleo,0.8,0.8,0.8,5
Linothele_sericata,1.0,0.8,0.8889,5
Lipaugus_fuscocinereus,1.0,1.0,1.0,5
Lissachatina_fulica,1.0,1.0,1.0,5
Lycomedes_hirtipes,1.0,1.0,1.0,5
Lycorea_cleobaea,0.8333,1.0,0.9091,5
Macara_alydda,1.0,0.8,0.8889,5
Machaeropterus_deliciosus,1.0,1.0,1.0,5
Machaeropterus_striolatus,0.8,0.8,0.8,5
Machetornis_rixosa,1.0,0.5,0.6667,6
Magnolia_yarumalensis,0.8333,1.0,0.9091,5
Malacoptila_mystacalis,0.9,1.0,0.9474,9
Malaveria_rodriguezi,1.0,1.0,1.0,5
Manacus_manacus,1.0,0.8,0.8889,5
Manacus_vitellinus,0.7778,1.0,0.875,7
Manduca_rustica,1.0,0.8,0.8889,5
Margarornis_squamiger,0.5,0.5,0.5,8
Markia_hystrix,1.0,1.0,1.0,5
Marpesia_berania,1.0,1.0,1.0,5
Marpesia_corinna,1.0,1.0,1.0,5
Maruca_vitrata,1.0,1.0,1.0,5
Masdevallia_amanda,1.0,1.0,1.0,5
Masdevallia_heteroptera,0.8333,1.0,0.9091,5
Masdevallia_hortensis,1.0,0.8,0.8889,5
Masdevallia_picturata,1.0,0.8,0.8889,5
Maxillaria_acuminata,0.7143,1.0,0.8333,5
Maxillaria_embreei,0.8333,1.0,0.9091,5
Maxillaria_lepidota,0.8333,1.0,0.9091,5
Mechanitis_polymnia,1.0,1.0,1.0,5
Mecocerculus_leucophrys,0.75,0.6,0.6667,5
Mecocerculus_stictopterus,0.6667,0.8,0.7273,5
Megaceryle_torquata,1.0,0.8,0.8889,5
Megascops_choliba,1.0,0.6,0.75,5
Megaskepasma_erythrochlamys,1.0,0.6,0.75,5
Melanchroia_chephise,1.0,0.8,0.8889,5
Melanerpes_formicivorus,0.8571,1.0,0.9231,12
Melanerpes_pulcher,1.0,0.6,0.75,5
Melanerpes_rubricapillus,0.7692,1.0,0.8696,10
Melanis_pixe,1.0,1.0,1.0,5
Melipona_nigrescens,0.8333,1.0,0.9091,5
Memphis_lyceus,1.0,1.0,1.0,5
Menemerus_bivittatus,1.0,1.0,1.0,6
Merganetta_armata,0.8333,1.0,0.9091,5
Mesothen_nomia,1.0,1.0,1.0,5
Metallura_tyrianthina,0.7778,0.7778,0.7778,9
Metallura_williami,1.0,0.6,0.75,5
Miconia_aeruginosa,1.0,1.0,1.0,5
Miconia_asperrima,0.7143,1.0,0.8333,5
Miconia_salicifolia,1.0,1.0,1.0,5
Miconia_trichocalyx,1.0,1.0,1.0,5
Micrathena_lucasi,1.0,1.0,1.0,5
Micrurus_mipartitus,0.8,0.8,0.8,5
Mimoniades_nurscia,0.8333,1.0,0.9091,5
Mimus_gilvus,0.6667,0.8,0.7273,5
Mionectes_oleagineus,1.0,0.8,0.8889,5
Mniotilta_varia,1.0,1.0,1.0,5
Molothrus_bonariensis,0.5333,0.8,0.64,10
Momordica_charantia,1.0,1.0,1.0,5
Momotus_aequatorialis,1.0,0.9333,0.9655,15
Monochaetum_multiflorum,0.8333,1.0,0.9091,5
Morella_pubescens,0.75,0.6,0.6667,5
Morpho_sulkowskyi,1.0,1.0,1.0,5
Muntingia_calabura,0.6667,0.8,0.7273,5
Musa_velutina,1.0,0.8,0.8889,5
Mutisia_clematis,1.0,0.8,0.8889,5
Myadestes_ralloides,0.75,0.6,0.6667,5
Myiarchus_cephalotes,1.0,0.8,0.8889,5
Myioborus_miniatus,0.6,0.75,0.6667,8
Myioborus_ornatus,0.8462,0.7333,0.7857,15
Myiodynastes_hemichrysus,0.4286,0.6,0.5,5
Myiodynastes_maculatus,1.0,0.6,0.75,5
Myiotheretes_striaticollis,0.625,1.0,0.7692,5
Myiothlypis_coronata,0.8,0.8,0.8,5
Myiothlypis_fulvicauda,1.0,1.0,1.0,5
Myiothlypis_nigrocristata,0.8,0.8,0.8,5
Myiozetetes_cayanensis,0.6667,0.5714,0.6154,7
Mythimna_unipuncta,1.0,1.0,1.0,5
Nasua_olivacea,1.0,0.8,0.8889,5
Necyria_bellona,1.0,1.0,1.0,5
Nertera_granadensis,1.0,0.4,0.5714,5
Notiochelidon_cyanoleuca,0.8571,0.75,0.8,8
Notiochelidon_murina,0.7,1.0,0.8235,7
Nyctibius_griseus,0.8333,1.0,0.9091,5
Nycticorax_nycticorax,0.75,0.6,0.6667,5
Nymphargus_grandisonae,1.0,0.8,0.8889,5
Ochthoeca_cinnamomeiventris,1.0,1.0,1.0,5
Ochthoeca_diadema,1.0,0.9167,0.9565,12
Ochthoeca_frontalis,1.0,1.0,1.0,5
Ochthoeca_fumicolor,1.0,1.0,1.0,5
Ochthoeca_rufipectoralis,1.0,0.8,0.8889,5
Ocreatus_underwoodii,1.0,0.8,0.8889,5
Odontomachus_erythrocephalus,0.7143,1.0,0.8333,5
Ognorhynchus_icterotis,0.8333,1.0,0.9091,5
Oncidium_cultratum,1.0,1.0,1.0,5
Oncidium_lehmannii,1.0,1.0,1.0,5
Oncidium_luteopurpureum,1.0,0.8,0.8889,5
Oncidium_ornithorhynchum,1.0,0.8571,0.9231,7
Opaon_varicolor,1.0,0.8,0.8889,5
Opsiphanes_quiteria,1.0,1.0,1.0,5
Oressinoma_typhla,1.0,1.0,1.0,5
Ortalis_columbiana,1.0,0.6667,0.8,6
Orthrosanthus_chimboracensis,0.8333,1.0,0.9091,5
Oxypogon_stuebelii,0.875,1.0,0.9333,7
Oxyrhopus_petolarius,0.5,0.6,0.5455,5
Oxysternon_conspicillatum,1.0,1.0,1.0,5
Pachyramphus_polychopterus,0.75,0.6,0.6667,5
Pachystachys_lutea,1.0,1.0,1.0,5
Palicourea_angustifolia,0.75,0.6,0.6667,5
Palicourea_colorata,1.0,1.0,1.0,5
Pandion_haliaetus,0.75,0.6,0.6667,5
Pantherodes_pardalaria,0.8333,1.0,0.9091,5
Papilio_polyxenes,0.6667,0.4,0.5,5
Paramastax_poecilosoma,0.8,0.8,0.8,5
Paramastax_rosenbergi,1.0,1.0,1.0,5
Parataygetis_lineata,1.0,1.0,1.0,5
Pareuptychia_hesione,1.0,0.6,0.75,5
Pareuptychia_metaleuca,0.8333,1.0,0.9091,5
Parides_erithalion,0.7143,1.0,0.8333,5
Passiflora_adenopoda,0.8333,1.0,0.9091,5
Passiflora_alata,1.0,0.4,0.5714,5
Passiflora_alnifolia,0.75,0.6,0.6667,5
Passiflora_antioquiensis,0.5,0.4,0.4444,5
Passiflora_apoda,0.7143,1.0,0.8333,5
Passiflora_capsularis,0.4,0.4,0.4,5
Passiflora_cisnana,0.4,0.4,0.4,5
Passiflora_coriacea,0.5,0.6,0.5455,5
Passiflora_cumbalensis,1.0,0.8,0.8889,5
Passiflora_cuspidifolia,0.8,0.8,0.8,5
Passiflora_maliformis,1.0,0.6,0.75,5
Passiflora_mixta,0.8333,1.0,0.9091,5
Passiflora_suberosa,0.4,0.4,0.4,5
Passiflora_tribolophylla,0.8,0.8,0.8,5
Passiflora_vitifolia,0.8,0.8,0.8,5
Patagioenas_cayennensis,0.75,0.6,0.6667,5
Patagioenas_fasciata,1.0,0.4,0.5714,5
Pedaliodes_peucestas,0.8333,1.0,0.9091,5
Pedaliodes_phaedra,1.0,0.8,0.8889,5
Pelecinus_polyturator,1.0,1.0,1.0,5
